"basic","image","pid","parameter","display_pid","maintenance"
"{""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""color"":""Flower color red"",""origin"":""South Africa"",""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""production"":""China"",""category"":""Proteaceae, Helicia""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdsYWR5IGRpJy5qcGc=?imageView2/1/w/%d/h/%d","protea 'lady di'","{""max_soil_moist"":60,""max_light_lux"":60000,""max_temp"":35,""min_soil_ec"":350,""min_env_humid"":30,""min_temp"":7,""max_env_humid"":85,""min_soil_moist"":15,""min_light_mmol"":4000,""min_light_lux"":2500,""max_light_mmol"":6000,""max_soil_ec"":2000}","Protea 'Lady Di'","{""sunlight"":""Like adequate light, shade properly under summer strong light"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""soil"":""Peat or soil with specific nutrients"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""watering"":""Water thoroughly after soil surface dries""}"
"{""origin"":""South Africa"",""color"":""Flower color red"",""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""production"":""China"",""category"":""Proteaceae, Helicia"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months.""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdsaWViZW5jaGVycnknLmpwZw==?imageView2/1/w/%d/h/%d","protea 'liebencherry'","{""max_env_humid"":85,""max_light_lux"":60000,""max_soil_moist"":60,""min_light_lux"":2500,""min_light_mmol"":4000,""max_soil_ec"":2000,""min_soil_ec"":350,""max_temp"":35,""min_soil_moist"":15,""max_light_mmol"":6000,""min_env_humid"":30,""min_temp"":7}","Protea 'Liebencherry'","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""watering"":""Water thoroughly after soil surface dries""}"
"{""origin"":""South Africa"",""production"":""China"",""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""category"":""Proteaceae, Helicia"",""color"":""Flower color yellow""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdsaW1lIGxpZ2h0Jy5qcGc=?imageView2/1/w/%d/h/%d","protea 'lime light'","{""max_env_humid"":85,""min_soil_ec"":350,""max_soil_moist"":60,""max_light_lux"":60000,""min_temp"":7,""min_light_mmol"":4000,""min_env_humid"":30,""max_light_mmol"":6000,""max_soil_ec"":2000,""max_temp"":35,""min_soil_moist"":15,""min_light_lux"":2500}","Protea 'Lime Light'","{""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""watering"":""Water thoroughly after soil surface dries"",""soil"":""Peat or soil with specific nutrients"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely""}"
"{""category"":""Proteaceae, Helicia"",""color"":""Flower color red"",""origin"":""South Africa"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""production"":""China""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdtYWRpYmEnLmpwZw==?imageView2/1/w/%d/h/%d","protea 'madiba'","{""min_env_humid"":30,""max_env_humid"":85,""max_light_mmol"":6000,""max_light_lux"":60000,""min_light_mmol"":4000,""min_light_lux"":2500,""max_temp"":35,""min_temp"":7,""max_soil_ec"":2000,""min_soil_moist"":15,""min_soil_ec"":350,""max_soil_moist"":60}","Protea 'Madiba'","{""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""soil"":""Peat or soil with specific nutrients"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""watering"":""Water thoroughly after soil surface dries"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn""}"
"{""origin"":""South Africa"",""production"":""China"",""color"":""Flower color white"",""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""category"":""Proteaceae, Helicia"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months.""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdtdW5kaWknLmpwZw==?imageView2/1/w/%d/h/%d","protea 'mundii'","{""max_light_mmol"":6000,""min_soil_ec"":350,""min_light_mmol"":4000,""max_soil_ec"":2000,""max_temp"":35,""max_light_lux"":60000,""min_env_humid"":30,""max_env_humid"":85,""min_temp"":7,""max_soil_moist"":60,""min_soil_moist"":15,""min_light_lux"":2500}","Protea 'Mundii'","{""watering"":""Water thoroughly after soil surface dries"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""color"":""Flower color rose red"",""production"":""China"",""category"":""Proteaceae, Helicia"",""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""origin"":""South Africa""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICduYW5hJy5qcGc=?imageView2/1/w/%d/h/%d","protea 'nana'","{""max_soil_moist"":60,""min_light_mmol"":4000,""min_temp"":7,""max_temp"":35,""min_env_humid"":30,""min_light_lux"":2500,""max_light_lux"":60000,""min_soil_moist"":15,""max_env_humid"":85,""max_light_mmol"":6000,""min_soil_ec"":350,""max_soil_ec"":2000}","Protea 'Nana'","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""watering"":""Water thoroughly after soil surface dries"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""category"":""Proteaceae, Helicia"",""color"":""Flower color red"",""origin"":""South Africa"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""production"":""China""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICduZXJpZm9saWEnLmpwZw==?imageView2/1/w/%d/h/%d","protea 'nerifolia'","{""min_env_humid"":30,""min_soil_ec"":350,""max_light_mmol"":6000,""min_light_lux"":2500,""min_soil_moist"":15,""max_env_humid"":85,""min_temp"":7,""max_soil_moist"":60,""max_soil_ec"":2000,""min_light_mmol"":4000,""max_temp"":35,""max_light_lux"":60000}","Protea 'Nerifolia'","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""soil"":""Peat or soil with specific nutrients"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""watering"":""Water thoroughly after soil surface dries""}"
"{""production"":""China"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""origin"":""South Africa"",""category"":""Proteaceae, Helicia"",""color"":""Flower color white"",""blooming"":""Flowering period May-December, viewing period up to 5-7 months""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICduaW9iZScuanBn?imageView2/1/w/%d/h/%d","protea 'niobe'","{""min_env_humid"":30,""max_temp"":35,""max_env_humid"":85,""max_soil_ec"":2000,""min_soil_moist"":15,""max_light_lux"":60000,""max_soil_moist"":60,""max_light_mmol"":6000,""min_temp"":7,""min_light_mmol"":4000,""min_light_lux"":2500,""min_soil_ec"":350}","Protea 'Niobe'","{""sunlight"":""Like adequate light, shade properly under summer strong light"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Water thoroughly after soil surface dries"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely""}"
"{""category"":""Proteaceae, Helicia"",""production"":""China"",""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""origin"":""South Africa"",""color"":""Flower color pink"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months.""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdwaW5rIGR1a2UnLmpwZw==?imageView2/1/w/%d/h/%d","protea 'pink duke'","{""min_light_lux"":2500,""min_temp"":7,""max_soil_moist"":60,""max_light_lux"":60000,""min_light_mmol"":4000,""min_soil_ec"":350,""min_env_humid"":30,""max_env_humid"":85,""max_light_mmol"":6000,""max_temp"":35,""max_soil_ec"":2000,""min_soil_moist"":15}","Protea 'Pink Duke'","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""watering"":""Water thoroughly after soil surface dries"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""origin"":""South Africa"",""production"":""China"",""color"":""Flower color pink"",""category"":""Proteaceae, Helicia""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdwaW5rIGljZScuanBn?imageView2/1/w/%d/h/%d","protea 'pink ice'","{""min_light_lux"":2500,""max_light_lux"":60000,""min_temp"":7,""max_light_mmol"":6000,""max_temp"":35,""min_soil_ec"":350,""min_light_mmol"":4000,""min_soil_moist"":15,""max_env_humid"":85,""min_env_humid"":30,""max_soil_moist"":60,""max_soil_ec"":2000}","Protea 'Pink Ice'","{""watering"":""Water thoroughly after soil surface dries"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn""}"
"{""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""color"":""Flower color red"",""origin"":""South Africa"",""category"":""Proteaceae, Helicia"",""production"":""China""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdwaXR5cGh5bGxhJy5qcGc=?imageView2/1/w/%d/h/%d","protea 'pityphylla'","{""min_soil_moist"":15,""max_light_mmol"":6000,""max_env_humid"":85,""min_light_mmol"":4000,""min_soil_ec"":350,""min_light_lux"":2500,""max_soil_ec"":2000,""max_temp"":35,""min_env_humid"":30,""max_light_lux"":60000,""max_soil_moist"":60,""min_temp"":7}","Protea 'Pityphylla'","{""soil"":""Peat or soil with specific nutrients"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""watering"":""Water thoroughly after soil surface dries"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""origin"":""South Africa"",""category"":""Proteaceae, Helicia"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""color"":""Flower color red"",""production"":""China""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdyZWQgcmVwZW5zJy5qcGc=?imageView2/1/w/%d/h/%d","protea 'red repens'","{""max_env_humid"":85,""max_light_lux"":60000,""min_light_lux"":2500,""max_soil_moist"":60,""max_temp"":35,""max_light_mmol"":6000,""min_soil_moist"":15,""min_env_humid"":30,""min_light_mmol"":4000,""max_soil_ec"":2000,""min_temp"":7,""min_soil_ec"":350}","Protea 'Red Repens'","{""sunlight"":""Like adequate light, shade properly under summer strong light"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""soil"":""Peat or soil with specific nutrients"",""watering"":""Water thoroughly after soil surface dries"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn""}"
"{""color"":""Flower color orange"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""production"":""China"",""origin"":""South Africa"",""category"":""Proteaceae, Helicia""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdyb2Jpam4nLmpwZw==?imageView2/1/w/%d/h/%d","protea 'robijn'","{""min_temp"":7,""max_env_humid"":85,""min_env_humid"":30,""max_light_lux"":60000,""min_light_lux"":2500,""min_light_mmol"":4000,""max_soil_ec"":2000,""max_light_mmol"":6000,""max_temp"":35,""min_soil_ec"":350,""max_soil_moist"":60,""min_soil_moist"":15}","Protea 'Robijn'","{""watering"":""Water thoroughly after soil surface dries"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""soil"":""Peat or soil with specific nutrients""}"
"{""color"":""Flower color light yellow"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""production"":""China"",""category"":""Proteaceae, Helicia"",""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""origin"":""South Africa""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdzY29seScuanBn?imageView2/1/w/%d/h/%d","protea 'scoly'","{""max_light_lux"":60000,""min_env_humid"":30,""min_temp"":7,""max_light_mmol"":6000,""min_light_lux"":2500,""max_temp"":35,""min_light_mmol"":4000,""min_soil_moist"":15,""max_env_humid"":85,""min_soil_ec"":350,""max_soil_ec"":2000,""max_soil_moist"":60}","Protea 'Scoly'","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""watering"":""Water thoroughly after soil surface dries"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn""}"
"{""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""origin"":""South Africa"",""production"":""China"",""color"":""Flower color red"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""category"":""Proteaceae, Helicia""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdzaGVpbGEnLmpwZw==?imageView2/1/w/%d/h/%d","protea 'sheila'","{""min_soil_ec"":350,""max_light_lux"":60000,""max_env_humid"":85,""max_light_mmol"":6000,""min_light_lux"":2500,""max_soil_moist"":60,""min_env_humid"":30,""max_soil_ec"":2000,""min_soil_moist"":15,""max_temp"":35,""min_temp"":7,""min_light_mmol"":4000}","Protea 'Sheila'","{""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""watering"":""Water thoroughly after soil surface dries"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""soil"":""Peat or soil with specific nutrients""}"
"{""origin"":""South Africa"",""color"":""Flower color red"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""category"":""Proteaceae, Helicia"",""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""production"":""China""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdzdXNhcmEnLmpwZw==?imageView2/1/w/%d/h/%d","protea 'susara'","{""min_soil_ec"":350,""min_temp"":7,""max_soil_moist"":60,""max_light_mmol"":6000,""min_soil_moist"":15,""max_light_lux"":60000,""min_env_humid"":30,""max_env_humid"":85,""max_soil_ec"":2000,""min_light_lux"":2500,""max_temp"":35,""min_light_mmol"":4000}","Protea 'Susara'","{""watering"":""Water thoroughly after soil surface dries"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""origin"":""South Africa"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""production"":""China"",""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""category"":""Proteaceae, Helicia"",""color"":""Flower color red""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICdzeWx2aWEnLmpwZw==?imageView2/1/w/%d/h/%d","protea 'sylvia'","{""min_env_humid"":30,""max_env_humid"":85,""min_light_mmol"":4000,""max_temp"":35,""max_soil_ec"":2000,""max_light_mmol"":6000,""min_soil_moist"":15,""max_light_lux"":60000,""min_soil_ec"":350,""min_temp"":7,""max_soil_moist"":60,""min_light_lux"":2500}","Protea 'Sylvia'","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Water thoroughly after soil surface dries""}"
"{""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""category"":""Proteaceae, Helicia"",""production"":""China"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""origin"":""South Africa"",""color"":""Flower color red""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICd2ZW51cycuanBn?imageView2/1/w/%d/h/%d","protea 'venus'","{""min_light_lux"":2500,""min_light_mmol"":4000,""max_light_mmol"":6000,""max_temp"":35,""max_env_humid"":85,""min_soil_ec"":350,""max_soil_ec"":2000,""max_light_lux"":60000,""min_temp"":7,""min_soil_moist"":15,""max_soil_moist"":60,""min_env_humid"":30}","Protea 'Venus'","{""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""watering"":""Water thoroughly after soil surface dries"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""soil"":""Peat or soil with specific nutrients""}"
"{""blooming"":""Flowering period May-December, viewing period up to 5-7 months"",""floral_language"":""Protea cynaroides\nFloriography: tenacious, wealthy, gorgeous\nProtea cynaroides also known as \""Bodhi flower\"", revered as South Africa's national flower.\nProtea cynaroides has a peculiar shape with oval leaves and huge exotic flowers of a rarely seen form, mimic a rosette, has white to red color. Suitable for potted ornamental planting, can be an ideal material for cut flowers and dried flowers.\nProtea cynaroides likes sunny places, but shade properly under strong summer sunlight. Flowering time from May to December for viewing in 5-7 months."",""production"":""China"",""origin"":""South Africa"",""color"":""Flower color rose red"",""category"":""Proteaceae, Helicia""}","http://pkb.resource.huahuacaocao.com/cHJvdGVhICd3YXJhdGFoJy5qcGc=?imageView2/1/w/%d/h/%d","protea 'waratah'","{""max_soil_ec"":2000,""min_env_humid"":30,""max_soil_moist"":60,""max_temp"":35,""min_light_mmol"":4000,""min_soil_moist"":15,""min_temp"":7,""max_light_mmol"":6000,""max_env_humid"":85,""min_soil_ec"":350,""min_light_lux"":2500,""max_light_lux"":60000}","Protea 'Waratah'","{""soil"":""Peat or soil with specific nutrients"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""sunlight"":""Like adequate light, shade properly under summer strong light"",""watering"":""Water thoroughly after soil surface dries"",""fertilization"":""Dilute fertilizers following instructions, apply once every 1-2 months in spring and autumn"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
